epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.754,1.21141,2.53187,1.32115,0.70943,0.14294,0.23697,0.13813,1.38278,3.14943,1.41097,0.000465508,0.000465508,0.000465508
2,306.98,1.31271,2.13769,1.37876,0.37496,0.25488,0.19873,0.09596,1.60417,2.91744,1.64078,0.000932517,0.000932517,0.000932517
3,469.119,1.38356,2.09176,1.43111,0.39858,0.32133,0.27334,0.12669,1.80437,2.96843,1.87043,0.00139009,0.00139009,0.00139009
4,630.955,1.39204,2.02744,1.45179,0.40245,0.32146,0.28009,0.12516,1.84982,2.79441,1.96079,0.00138656,0.00138656,0.00138656
5,791.778,1.43466,1.97442,1.46305,0.41732,0.41773,0.34295,0.17296,1.6778,2.28251,1.69103,0.00137241,0.00137241,0.00137241
6,952.302,1.39973,1.89797,1.45763,0.48635,0.43854,0.33657,0.17503,1.66804,2.36672,1.78314,0.00135826,0.00135826,0.00135826
7,1112.62,1.36118,1.86235,1.42313,0.37916,0.4844,0.34827,0.18997,1.61911,2.14765,1.64825,0.00134412,0.00134412,0.00134412
8,1273.64,1.32327,1.755,1.381,0.30703,0.38717,0.26804,0.12734,1.78025,2.41146,1.81451,0.00132997,0.00132997,0.00132997
9,1432.23,1.32518,1.75616,1.40701,0.4238,0.46357,0.36897,0.19042,1.58516,1.94013,1.61125,0.00131582,0.00131582,0.00131582
10,1586.02,1.28008,1.65015,1.37437,0.48441,0.48871,0.42699,0.22186,1.58985,1.94031,1.60642,0.00130168,0.00130168,0.00130168
11,1741.68,1.30314,1.666,1.3862,0.44112,0.49578,0.43402,0.23331,1.55015,1.86033,1.57828,0.00128753,0.00128753,0.00128753
12,1898.09,1.26776,1.61982,1.35579,0.41638,0.50992,0.40264,0.21303,1.57128,1.80941,1.57287,0.00127338,0.00127338,0.00127338
13,2056.33,1.2623,1.57949,1.35675,0.40886,0.53172,0.43666,0.21768,1.65506,1.88735,1.62705,0.00125923,0.00125923,0.00125923
14,2213.17,1.23146,1.50791,1.33525,0.44168,0.51729,0.44924,0.23838,1.60131,1.69788,1.56776,0.00124509,0.00124509,0.00124509
15,2369.22,1.22686,1.49828,1.31507,0.4216,0.5358,0.41701,0.22838,1.55333,1.85228,1.55117,0.00123094,0.00123094,0.00123094
16,2526.43,1.22221,1.4982,1.31367,0.5116,0.52481,0.46417,0.26248,1.46271,1.67533,1.53168,0.00121679,0.00121679,0.00121679
17,2682.78,1.18248,1.46399,1.32618,0.50693,0.5121,0.46617,0.26281,1.50801,1.70522,1.54332,0.00120265,0.00120265,0.00120265
